home_1,home_2,link_count,num_possible,avg_link,type,home_1_number,home_2_number
dqcnfq6s,dqcnfsbj,1,3,0.3333333333333333,0,2,1
dqcng23k,dqcng3b4,1,2,0.5,0,1,1
dqcnct6k,dqcncuc6,1,2,0.5,0,1,1
dqcp1zyx,dqcp3bw4,2,3,0.6666666666666666,0,1,2
dqcnc5rf,dqcnc726,1,2,0.5,0,1,1
dqcp4k3y,dqcp4m4s,1,2,0.5,0,1,1
dqcncmz6,dqcncw8h,1,3,0.3333333333333333,0,2,1
dqcncw8h,dqcp1bqv,1,2,0.5,0,1,1
dqcnf6ew,dqcnfknh,1,2,0.5,0,1,1
dqcp1ym5,dqcp4htm,1,2,0.5,0,1,1
dqcnf511,dqcnfkkm,1,2,0.5,0,1,1
dqcncteb,dqcne0em,1,3,0.3333333333333333,0,1,2
dqcner94,dqcng0t5,1,2,0.5,0,1,1
dqcp434m,dqcp4kbs,1,2,0.5,0,1,1
dqcp1gmz,dqcp38p3,2,4,0.5,0,2,2
dqcn8zhj,dqcne2cx,1,3,0.3333333333333333,0,2,1
dqcnfqc3,dqcp1hw4,2,4,0.5,0,2,2
dqcnfkw0,dqcp4kgd,1,3,0.3333333333333333,0,1,2
dqcn8zhj,dqcp1y22,1,3,0.3333333333333333,0,2,1
dqcne0v2,dqcne0v8,2,3,0.6666666666666666,0,2,1
dqcp1gtx,dqcp3b1m,2,3,0.6666666666666666,0,2,1
dqcnc2w6,dqcndqu3,2,3,0.6666666666666666,0,2,1
dqcnc2em,dqcnc7y0,1,2,0.5,0,1,1
dqcnf1dn,dqcng5m0,2,3,0.6666666666666666,0,1,2
dqcnc6vt,dqcnctvk,1,2,0.5,0,1,1
dqcnc90y,dqcng1pe,2,4,0.5,0,2,2
dqcncefg,dqcncfq5,1,2,0.5,0,1,1
dqcncdmb,dqcnf1vy,1,2,0.5,0,1,1
dqcp4kbs,dqcp4nfx,1,2,0.5,0,1,1
dqcn7m99,dqcnc6ex,1,2,0.5,0,1,1
dqcncteb,dqcnf1dt,2,3,0.6666666666666666,0,1,2
dqcnfpuy,dqcp41er,1,2,0.5,0,1,1
dqcnc9vh,dqcncc3q,1,3,0.3333333333333333,0,2,1
dqcp1vqv,dqcp4kgx,1,2,0.5,0,1,1
dqcnur4h,dqcp4h0z,1,2,0.5,0,1,1
dqcncrp5,dqcncx8c,1,2,0.5,0,1,1
dqcncep4,dqcncvy0,1,2,0.5,0,1,1
dqcnbbpm,dqcnbchv,1,2,0.5,0,1,1
dqcnc22e,dqcnc90y,1,3,0.3333333333333333,0,1,2
dqcn7m99,dqcnc2w6,2,3,0.6666666666666666,0,1,2
dqcnbchm,dqcnc1j2,1,2,0.5,0,1,1
dqcp1vqh,dqcp428v,1,3,0.3333333333333333,0,1,2
dqcnfpnu,dqcnfq6s,1,3,0.3333333333333333,0,1,2
dqcnc6mr,dqcncf22,3,5,0.6,0,2,3
dqcncxvc,dqcncxy1,2,3,0.6666666666666666,0,2,1
dqcp3853,dqcp3bw4,1,3,0.3333333333333333,0,1,2
dqcncc3q,dqcng1pe,2,3,0.6666666666666666,0,1,2
dqcncfjz,dqcnfkys,1,2,0.5,0,1,1
dqcp47k3,dqcp4kgx,1,2,0.5,0,1,1
dqcp1y22,dqcp1ydc,1,2,0.5,0,1,1
dqcngjgx,dqcngn5b,4,4,1.0,0,2,2
dqcnctbb,dqcnf523,1,4,0.25,0,3,1
dqcnckwe,dqcp42bz,1,2,0.5,0,1,1
dqcj6z7n,dqcngjgx,2,3,0.6666666666666666,0,1,2
dqcng5m8,dqcng6jx,2,3,0.6666666666666666,0,2,1
dqcncsjm,dqcncx46,1,4,0.25,0,2,2
dqcnf73e,dqcnfq16,1,2,0.5,0,1,1
dqcnc8sm,dqcnfbjn,1,4,0.25,0,3,1
dqcncf6c,dqcncgvu,1,2,0.5,0,1,1
dqcnf1rv,dqcnf457,2,4,0.5,0,2,2
dqcnf5vu,dqcnfk5z,1,2,0.5,0,1,1
dqcnfk5z,dqcnfmyp,1,2,0.5,0,1,1
dqcp4qdb,dqcp4qe3,1,2,0.5,0,1,1
dqcncfq5,dqcncteb,1,2,0.5,0,1,1
dqcncmz6,dqcncucd,1,3,0.3333333333333333,0,2,1
dqcncw8h,dqcnfw79,1,2,0.5,0,1,1
dqcncf4c,dqcnf1dw,1,2,0.5,0,1,1
dqcncc20,dqcnczwn,1,3,0.3333333333333333,0,2,1
dqcnczwn,dqcnfshh,1,2,0.5,0,1,1
dqcnf6h2,dqcnfkjb,2,3,0.6666666666666666,0,2,1
dqcncsvg,dqcndsjg,1,2,0.5,0,1,1
dqcp4hth,dqcp4hyd,1,2,0.5,0,1,1
dqcn9xf0,dqcnc60t,1,3,0.3333333333333333,0,2,1
dqcncefg,dqcncesv,1,2,0.5,0,1,1
dqcncwjy,dqcnfpjj,1,2,0.5,0,1,1
dqcp3b1f,dqcp4j6s,1,2,0.5,0,1,1
dqcnfmdf,dqcnfwk3,1,2,0.5,0,1,1
dqcnfbhv,dqcng1mp,1,2,0.5,0,1,1
dqcnc6ht,dqcp4k9b,1,2,0.5,0,1,1
dqcncsbc,dqcnct7c,1,2,0.5,0,1,1
dqcp1yek,dqcp4hvf,2,3,0.6666666666666666,0,2,1
dqcnc6uw,dqcnctjd,1,2,0.5,0,1,1
dqcp32j7,dqcp4njg,1,2,0.5,0,1,1
dqcp4hyx,dqcp4jxf,2,3,0.6666666666666666,0,1,2
dqcjghk2,dqcnctm3,1,2,0.5,0,1,1
dqcn7m99,dqcncqmm,1,2,0.5,0,1,1
dqcnep3j,dqcnfq3y,1,2,0.5,0,1,1
dqcnckm5,dqcncucd,1,2,0.5,0,1,1
dqcp1yek,dqcp1zbb,1,4,0.25,0,2,2
dqcnctzd,dqcnczwn,1,2,0.5,0,1,1
dqcp45kp,dqcp478e,1,2,0.5,0,1,1
dqcnffyj,dqcng5t4,1,3,0.3333333333333333,0,1,2
dqcng4th,dqcng718,1,2,0.5,0,1,1
dqcng72t,dqcngjj5,2,3,0.6666666666666666,0,2,1
dqcng4uc,dqcngn5b,1,3,0.3333333333333333,0,1,2
dqcn7pg9,dqcnc4u8,1,3,0.3333333333333333,0,1,2
dqcncx46,dqcnfbsb,1,3,0.3333333333333333,0,2,1
dqcncssg,dqcp1gsz,1,2,0.5,0,1,1
dqcng0dh,dqcng43c,2,3,0.6666666666666666,0,2,1
dqcnfkw0,dqcp1gbd,1,2,0.5,0,1,1
dqcncxy0,dqcncxy1,1,2,0.5,0,1,1
dqcp1vqv,dqcp3b1m,1,2,0.5,0,1,1
dqcnbfjy,dqcnc2dd,1,2,0.5,0,1,1
dqcnfmdf,dqcnft89,1,2,0.5,0,1,1
dqcng0x3,dqcng3b4,1,2,0.5,0,1,1
dqcp1rx1,dqcp4jxf,1,3,0.3333333333333333,0,1,2
dqcngggb,dqcp1gtx,1,3,0.3333333333333333,0,1,2
dqcne0v2,dqcngm6r,2,4,0.5,0,2,2
dqcncf4c,dqcnf6ew,1,2,0.5,0,1,1
dqcndk23,dqcndqu3,2,3,0.6666666666666666,0,2,1
dqcncxbg,dqcnf8m7,1,2,0.5,0,1,1
dqcncg1n,dqcnckm5,1,2,0.5,0,1,1
dqcnfpnu,dqcp1cqm,1,2,0.5,0,1,1
dqcnfcm5,dqcng470,1,3,0.3333333333333333,0,2,1
dqcnc29k,dqcnc86d,2,3,0.6666666666666666,0,2,1
dqcnbbwp,dqcnbchw,2,3,0.6666666666666666,0,1,2
dqcnbbzc,dqcnc6tb,2,3,0.6666666666666666,0,1,2
dqcn9rge,dqcndsjg,1,2,0.5,0,1,1
dqcp4q3e,dqcp4q65,2,3,0.6666666666666666,0,1,2
dqcnc2sv,dqcnc8h1,1,2,0.5,0,1,1
dqcnc48z,dqcp1bqv,1,2,0.5,0,1,1
dqcncssk,dqcnfss1,1,2,0.5,0,1,1
dqcnejf8,dqcnfuug,1,3,0.3333333333333333,0,1,2
dqcp1rx1,dqcp1xyv,1,2,0.5,0,1,1
dqcp1z73,dqcp4qsd,1,2,0.5,0,1,1
dqcncsm5,dqcnfbhu,1,3,0.3333333333333333,0,2,1
dqcnc78y,dqcnc90y,1,3,0.3333333333333333,0,1,2
dqcncteb,dqcp63nh,1,2,0.5,0,1,1
dqcnc2n6,dqcnc54d,1,2,0.5,0,1,1
dqcnfpuz,dqcp1f3q,1,3,0.3333333333333333,0,1,2
dqcncdq7,dqcncefg,2,3,0.6666666666666666,0,2,1
dqcncwev,dqcncwfq,1,2,0.5,0,1,1
dqcnc5hs,dqcncb2b,1,2,0.5,0,1,1
dqcncwj2,dqcp42bz,1,2,0.5,0,1,1
dqcn9xym,dqcncvvc,1,2,0.5,0,1,1
dqcncgqt,dqcncvy1,1,3,0.3333333333333333,0,1,2
dqcp1byt,dqcp1cqm,1,2,0.5,0,1,1
dqcn7pg9,dqcnc89v,1,2,0.5,0,1,1
dqcnbchw,dqcndv8j,1,3,0.3333333333333333,0,2,1
dqcncv9e,dqcngf7g,1,2,0.5,0,1,1
dqcncs26,dqcnct3d,1,3,0.3333333333333333,0,2,1
dqcnc1pu,dqcncv3h,1,2,0.5,0,1,1
dqcp1z73,dqcp3853,1,2,0.5,0,1,1
dqcnbfjy,dqcnc3fk,1,2,0.5,0,1,1
dqcp1f3q,dqcp1gtx,2,4,0.5,0,2,2
dqcp1gtj,dqcp412g,1,2,0.5,0,1,1
dqcnc77d,dqcncwev,1,2,0.5,0,1,1
dqcncwfq,dqcp40cq,1,3,0.3333333333333333,0,1,2
dqcnf511,dqcp63nh,1,2,0.5,0,1,1
dqcncdq7,dqcncfq5,2,3,0.6666666666666666,0,2,1
dqcp41gr,dqcp4q3e,1,3,0.3333333333333333,0,2,1
dqcp1zvd,dqcp4qe6,1,2,0.5,0,1,1
dqcncwev,dqcnfq8d,1,2,0.5,0,1,1
dqchcszw,dqcnfq16,1,2,0.5,0,1,1
dqcnc36d,dqcnfsbj,1,2,0.5,0,1,1
