time_step,dimension,dimension_name,household_i,household_j,p_ji_value
1,0,vacant,7,18,0.0
1,0,vacant,15,18,0.0
1,0,vacant,14,18,0.0
1,0,vacant,20,18,0.0
1,0,vacant,32,18,0.12161000133552724
1,2,sell,43,18,0.0
1,2,sell,33,18,0.0
1,2,sell,40,18,0.0
1,2,sell,9,18,0.0
1,2,sell,39,18,0.0
1,2,sell,36,18,0.0
1,2,sell,49,18,0.0
1,2,sell,31,18,0.0
1,2,sell,10,18,0.0
1,2,sell,7,18,0.0
1,2,sell,15,18,0.10521125176468767
1,2,sell,14,18,0.0
1,2,sell,20,18,0.0
1,2,sell,32,18,0.0
1,0,vacant,34,19,0.0
1,0,vacant,40,19,0.0
1,0,vacant,9,19,0.0
1,0,vacant,32,19,0.08210097827405041
1,0,vacant,36,19,0.0
1,0,vacant,44,19,0.0
1,0,vacant,22,19,0.0
1,0,vacant,17,19,0.0
1,0,vacant,45,19,0.0
1,0,vacant,29,19,0.0
1,0,vacant,46,19,0.0
1,0,vacant,49,19,0.0
1,0,vacant,14,19,0.0
1,0,vacant,43,19,0.0
1,0,vacant,8,19,0.0
1,0,vacant,16,19,0.0
1,2,sell,34,19,0.0
1,2,sell,40,19,0.0
1,2,sell,9,19,0.0
1,2,sell,32,19,0.0
1,2,sell,36,19,0.0
1,2,sell,44,19,0.0
1,2,sell,22,19,0.0
1,2,sell,17,19,0.0
1,2,sell,45,19,0.0
1,2,sell,29,19,0.0
1,2,sell,46,19,0.0
1,2,sell,49,19,0.0
1,2,sell,14,19,0.0
1,2,sell,43,19,0.0
1,2,sell,8,19,0.0
1,2,sell,16,19,0.0
1,1,repair,28,20,0.0
1,1,repair,37,20,0.0
1,1,repair,15,20,0.0
1,1,repair,39,20,0.0
1,1,repair,7,20,0.0
1,1,repair,49,20,0.0
1,1,repair,1,20,0.0
1,1,repair,50,20,0.0
1,1,repair,40,20,0.0
1,1,repair,43,20,0.0
1,1,repair,18,20,0.0
1,1,repair,30,20,0.0
1,0,vacant,28,20,0.0
1,0,vacant,37,20,0.0
1,0,vacant,15,20,0.0
1,0,vacant,39,20,0.0
1,0,vacant,7,20,0.0
1,0,vacant,49,20,0.0
1,0,vacant,1,20,0.0
1,0,vacant,50,20,0.0
1,0,vacant,40,20,0.0
1,0,vacant,43,20,0.0
1,0,vacant,18,20,0.0
1,0,vacant,30,20,0.0
1,2,sell,28,20,0.0
1,2,sell,37,20,0.0
1,2,sell,15,20,0.0469212333279604
1,2,sell,39,20,0.0
1,2,sell,7,20,0.0
1,2,sell,49,20,0.0
1,2,sell,1,20,0.0
1,2,sell,50,20,0.0
1,2,sell,40,20,0.0
1,2,sell,43,20,0.0
1,2,sell,18,20,0.0
1,2,sell,30,20,0.0
1,1,repair,39,21,0.0
1,1,repair,40,21,0.0
1,1,repair,43,21,0.0
1,0,vacant,39,21,0.0
1,0,vacant,40,21,0.0
1,0,vacant,43,21,0.0
1,2,sell,39,21,0.0
1,2,sell,40,21,0.0
1,2,sell,43,21,0.0
1,1,repair,8,22,0.0
1,1,repair,45,22,0.0
1,1,repair,50,22,0.0
1,1,repair,40,22,0.0
1,1,repair,19,22,0.0
1,1,repair,43,22,0.0
1,0,vacant,8,22,0.0
1,0,vacant,45,22,0.0
1,0,vacant,50,22,0.0
1,0,vacant,40,22,0.0
1,0,vacant,19,22,0.0
1,0,vacant,43,22,0.0
1,2,sell,8,22,0.0
1,2,sell,45,22,0.0
1,2,sell,50,22,0.0
1,2,sell,40,22,0.0
1,2,sell,19,22,0.0
1,2,sell,43,22,0.0
1,1,repair,41,23,0.0
1,1,repair,44,23,0.0
1,1,repair,17,23,0.0
1,1,repair,14,23,0.0
1,1,repair,6,23,0.0
1,1,repair,28,23,0.0
1,0,vacant,41,23,0.0
1,0,vacant,44,23,0.0
1,0,vacant,17,23,0.0
1,0,vacant,14,23,0.0
1,0,vacant,6,23,0.0
1,0,vacant,28,23,0.0
1,2,sell,41,23,0.0
1,2,sell,44,23,0.0
1,2,sell,17,23,0.0
1,2,sell,14,23,0.0
1,2,sell,6,23,0.0
1,2,sell,28,23,0.0
1,1,repair,4,24,0.0
1,1,repair,38,24,0.0
1,1,repair,2,24,0.0
1,1,repair,41,24,0.0
1,1,repair,42,24,0.0
1,1,repair,30,24,0.0
1,1,repair,37,24,0.0
1,0,vacant,4,24,0.0
1,0,vacant,38,24,0.0
1,0,vacant,2,24,0.0
1,0,vacant,41,24,0.0
1,0,vacant,42,24,0.0
1,0,vacant,30,24,0.0
1,0,vacant,37,24,0.0
1,2,sell,4,24,0.0
1,2,sell,38,24,0.0
1,2,sell,2,24,0.0
1,2,sell,41,24,0.0
1,2,sell,42,24,0.0
1,2,sell,30,24,0.0
1,2,sell,37,24,0.0
1,1,repair,50,25,0.0
1,1,repair,15,25,0.0
1,0,vacant,50,25,0.0
1,0,vacant,15,25,0.0
1,2,sell,50,25,0.0
1,2,sell,15,25,0.0
1,1,repair,1,26,0.0
1,1,repair,28,26,0.0
1,1,repair,3,26,0.0
1,1,repair,14,26,0.0
1,1,repair,30,26,0.0
1,1,repair,40,26,0.0
1,1,repair,39,26,0.0
1,0,vacant,1,26,0.0
1,0,vacant,28,26,0.0
1,0,vacant,3,26,0.0
1,0,vacant,14,26,0.0
1,0,vacant,30,26,0.0
1,0,vacant,40,26,0.0
1,0,vacant,39,26,0.0
1,2,sell,1,26,0.0
1,2,sell,28,26,0.0
1,2,sell,3,26,0.0
1,2,sell,14,26,0.0
1,2,sell,30,26,0.0
1,2,sell,40,26,0.0
1,2,sell,39,26,0.0
1,1,repair,14,27,0.0
1,1,repair,43,27,0.0
1,1,repair,33,27,0.0
