household_id_1,household_id_2,link_type,timestep
12071001923h1145,12071001923h580,2,2022-07
12071001923h1145,12071001923h586,2,2022-07
12071001923h1145,12071001923h609,2,2022-07
12071001923h1145,12071001923h613,2,2022-07
12071001923h1145,12071001923h615,2,2022-07
12071001923h1145,12071001923h734,2,2022-07
12071001923h1145,12071001923h741,2,2022-07
12071001923h1145,12071001923h905,2,2022-07
12071001923h1145,12071001923h906,2,2022-07
12071001923h1146,12071001923h602,2,2022-07
12071001923h1146,12071001923h629,2,2022-07
12071001923h1146,12071001923h732,2,2022-07
12071001923h1148,12071001923h598,2,2022-07
12071001923h1148,12071001923h733,2,2022-07
12071001923h1149,12071001923h632,2,2022-07
12071001923h1149,12071001923h738,2,2022-07
12071001923h1149,12071001923h908,2,2022-07
12071001923h1150,12071001923h631,2,2022-07
12071001923h1150,12071001923h645,2,2022-07
12071001923h1152,12071001923h599,2,2022-07
12071001923h1152,12071001923h607,2,2022-07
12071001923h1152,12071001923h615,2,2022-07
12071001923h1152,12071001923h618,2,2022-07
12071001923h1152,12071001923h631,2,2022-07
12071001923h1180,12071001923h631,2,2022-07
12071001923h564,12071001923h577,2,2022-07
12071001923h564,12071001923h643,2,2022-07
12071001923h564,12071001923h645,2,2022-07
12071001923h564,12071001923h659,2,2022-07
12071001923h564,12071001923h669,2,2022-07
12071001923h564,12071001923h734,2,2022-07
12071001923h565,12071001923h643,2,2022-07
12071001923h565,12071001923h647,2,2022-07
12071001923h565,12071001923h655,2,2022-07
12071001923h565,12071001923h669,2,2022-07
12071001923h565,12071001923h734,2,2022-07
12071001923h565,12071001923h907,2,2022-07
12071001923h568,12071001923h577,2,2022-07
12071001923h568,12071001923h628,2,2022-07
12071001923h568,12071001923h631,2,2022-07
12071001923h568,12071001923h656,2,2022-07
12071001923h568,12071001923h737,2,2022-07
12071001923h570,12071001923h603,2,2022-07
12071001923h570,12071001923h630,2,2022-07
12071001923h570,12071001923h640,2,2022-07
12071001923h570,12071001923h664,2,2022-07
12071001923h570,12071001923h669,2,2022-07
12071001923h570,12071001923h906,2,2022-07
12071001923h577,12071001923h645,2,2022-07
12071001923h578,12071001923h613,2,2022-07
12071001923h578,12071001923h629,2,2022-07
12071001923h578,12071001923h641,2,2022-07
12071001923h578,12071001923h649,2,2022-07
12071001923h578,12071001923h672,2,2022-07
12071001923h578,12071001923h732,2,2022-07
12071001923h578,12071001923h734,2,2022-07
12071001923h580,12071001923h588,2,2022-07
12071001923h580,12071001923h594,2,2022-07
12071001923h580,12071001923h741,2,2022-07
12071001923h582,12071001923h642,2,2022-07
12071001923h582,12071001923h649,2,2022-07
12071001923h586,12071001923h594,2,2022-07
12071001923h586,12071001923h603,2,2022-07
12071001923h586,12071001923h609,2,2022-07
12071001923h586,12071001923h623,2,2022-07
12071001923h586,12071001923h630,2,2022-07
12071001923h586,12071001923h905,2,2022-07
12071001923h588,12071001923h592,2,2022-07
12071001923h588,12071001923h594,2,2022-07
12071001923h588,12071001923h632,2,2022-07
12071001923h591,12071001923h655,2,2022-07
12071001923h592,12071001923h632,2,2022-07
12071001923h592,12071001923h905,2,2022-07
12071001923h594,12071001923h604,2,2022-07
12071001923h594,12071001923h741,2,2022-07
